pair_index,drug_1,drug_2,defect_class,detail
1,ciprofloxacin,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
2,ciprofloxacin,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
3,ciprofloxacin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
4,clindamycin,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
5,clindamycin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
6,clindamycin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
7,colchicine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
8,colchicine,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
9,colchicine,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
10,colchicine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
11,haloperidol,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
12,haloperidol,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
