doi,year,journal,cites,title,role,where
10.1007/s40264-013-0097-8,2013,Drug Safety,113.0,Defining a reference set to support methodological research in drug safety,ANCHOR PRECEDENT — the OMOP reference set; establishes that a reference set is a publishable object in Drug Safety,Introduction + Discussion
10.1007/s40264-024-01423-7,2024,Drug Safety,215.0,READUS-PV statement: reporting of disproportionality analyses (explanation and elaboration),COMPLIANCE — the current reporting standard for disproportionality; we state explicit conformance,Methods (signal detection) + Declarations
10.1007/s40264-024-01421-9,2024,Drug Safety,151.0,READUS-PV statement: development and statement,COMPLIANCE — companion statement; cite alongside the E&E paper,Methods
10.1007/s40264-014-0262-8,2015,Drug Safety,99.0,Consensus recommendations for systematic evaluation of DDI evidence for clinical decision support,EVIDENCE-GRADING PRECEDENT — Horn et al.; our tiering is the quantitative extension,Introduction + Methods (tiering rationale)
10.1007/s40264-016-0405-1,2016,Drug Safety,112.0,Good Signal Detection Practices: Evidence from IMI PROTECT,METHOD BASELINE — reference-set-based evaluation of signal detection; supports our negative result,Discussion (why our Omega result is not anomalous)
10.1007/s40264-015-0289-5,2015,Drug Safety,107.0,Comparison of statistical signal detection methods within and across spontaneous reporting databases,METHOD BASELINE — algorithm performance depends on the reference set used,Discussion
10.1002/pds.5609,2023,Pharmacoepidemiol Drug Saf,,Reference set design criteria alter apparent algorithm ranking,THE CALL WE ANSWER — varying reference-set design moved AUC/PPV in opposing directions,Introduction (the gap) + Discussion (the answer)
10.1038/s41597-022-01159-y,2022,Scientific Data,,CRESCENDDI: a reference set of clinically relevant adverse DDIs,"NEAREST COMPARATOR — 4,544 negative controls; we differ in unit of analysis + co-exposure denominator",Introduction + Discussion (explicit comparison)
10.1111/bcp.15341,2022,Br J Clin Pharmacol,,"Compendium disagreement: only 6,970 pairs common to BNF, Thesaurus and Micromedex",JUSTIFIES multi-source screening; single-compendium absence is not evidence of non-interaction,Introduction + Methods (why five layers)
10.1186/s12915-025-02231-w,2025,BMC Biology,,Negative-sampling bias in scale-free biomolecular networks,DIRECT PRECEDENT for the degree-bias headline; we replicate it in the DDI domain,Discussion (headline result)
10.1007/s40264-021-01048-0,2021,Drug Safety,11.0,Comparison of medication alerts from two commercial applications,CLINICAL MOTIVATION — Horn; alert burden and appropriateness,Introduction
10.1007/s40264-022-01265-1,2023,Drug Safety,25.0,Colchicine drug interaction errors and misunderstandings,EVIDENCE-QUALITY MOTIVATION — Horn; misinterpretation of DDI evidence in practice,Introduction
10.2146/ajhp100465,2011,Am J Health Syst Pharm,18.0,Customizing clinical decision support to prevent excessive DDI alerts,CLINICAL MOTIVATION — Horn; the alert-specificity problem our resource addresses,Introduction
10.1093/jamiaopen/ooab023,2021,JAMIA Open,19.0,Designing and evaluating contextualized drug-drug interaction algorithms,PATIENT-SPECIFIC ALERTING — the downstream use case for graded negatives,Discussion (implications)
10.1093/jamia/ocw128,2017,JAMIA,19.0,Drug-drug interaction discovery and demystification using Semantic Web technologies,"SELF — the D3 engine whose filter produced the audited set; clean, not retracted",Methods (provenance)
10.1002/jcph.70220,2026,J Clin Pharmacol,0.0,Ontology-enhanced deep learning for mechanistic prediction of DDIs,SELF — most recent clean DDI work; establishes continuity of the research line,Discussion
